Type,Temperature(K),RGB
B0Ib,25000,161.189.255
B0II,28000,162.188.255
B0III,28000,158.177.255
B0IV,28000,156.179.255
B0V,28000,156.178.255
B0VI,28000,156.178.255
B1Ia0,23790,168.193.255
B1Ia,23790,168.193.255
B1Ib,23790,168.193.255
B1II,26190,163.190.255
B1III,26190,158.177.255
B1IV,26190,157.180.255
B1V,26190,160.182.255
B1VI,26190,160.182.255
B2Ia0,22580,177.196.255
B2Ia,22580,177.196.255
B2Ib,22580,177.196.255
B2II,24380,165.192.255
B2III,24380,159.180.255
B2IV,24380,159.179.255
B2V,24380,160.180.255
B2VI,24380,160.180.255
B3Ia0,21370,175.194.255
B3Ia,21370,175.194.255
B3Ib,21370,175.194.255
B3II,22570,168.193.255
B3III,22570,163.187.255
B3IV,22570,166.188.255
B3V,22570,165.185.255
B3VI,22570,165.185.255
B4Ia0,20160,187.203.255
B4Ia,20160,187.203.255
B4Ib,20160,187.203.255
B4II,20760,172.194.255
B4III,20760,166.188.255
B4IV,20760,169.190.255
B4V,20760,164.184.255
B4VI,20760,164.184.255
B5Ia0,18950,179.202.255
B5Ia,18950,179.202.255
B5Ib,18950,179.202.255
B5II,18950,175.195.255
B5III,18950,168.189.255
B5IV,18950,172.192.255
B5V,18950,170.191.255
B5VI,18950,170.191.255
B6Ia0,17140,191.207.255
B6Ia,17140,191.207.255
B6Ib,17140,191.207.255
B6II,17140,177.196.255
B6III,17140,170.190.255
B6IV,17140,175.194.255
B6V,17140,172.189.255
B6VI,17140,172.189.255
B7Ia0,15330,195.209.255
B7Ia,15330,195.209.255
B7Ib,15330,195.209.255
B7II,15330,179.198.255
B7III,15330,171.191.255
B7IV,15330,170.189.255
B7V,15330,173.191.255
B7VI,15330,173.191.255
B8Ia0,13520,182.206.255
B8Ia,13520,182.206.255
B8Ib,13520,182.206.255
B8II,13520,181.199.255
B8III,13520,175.193.255
B8IV,13520,175.193.255
B8V,13520,177.195.255
B8VI,13520,177.195.255
B9Ia0,11710,204.216.255
B9Ia,11710,204.216.255
B9Ib,11710,204.216.255
B9II,11710,182.201.255
B9III,11710,178.195.255
B9IV,11710,180.197.255
B9V,11710,181.198.255
B9VI,11710,181.198.255
A0Ia0,9900,187.206.255
A0Ia,9900,187.206.255
A0Ib,9900,187.206.255
A0II,9900,184.202.255
A0III,9900,188.205.255
A0IV,9900,179.197.255
A0V,9900,185.201.255
A0VI,9900,185.201.255
A1Ia0,9707,214.223.255
A1Ia,9707,214.223.255
A1Ib,9707,214.223.255
A1II,9650,186.204.255
A1III,9650,188.204.255
A1IV,9650,183.200.255
A1V,9650,181.199.255
A1VI,9650,181.199.255
A2Ia0,9513,199.214.255
A2Ia,9513,199.214.255
A2Ib,9513,199.214.255
